Date,Open,High,Low,Ltp,% Change,Qty,Turnover,Inflation Rate
17-09-2023,486.6,535.2,486.6,495,1.73,"4,87,186.00","24,52,93,976.20",0.0752
18-09-2023,500,500,485.2,489,-1.21,"1,92,130.00","9,38,80,860.00",0.0752
19-09-2023,489,489,478.4,485.5,-0.72,"2,20,056.00","10,64,42,691.70",0.0752
21-09-2023,487,496,483.2,484.2,-0.27,"2,86,708.00","13,96,58,690.50",0.0752
24-09-2023,479,491,462.2,463.1,-4.36,"1,59,725.00","7,54,16,964.50",0.0752
25-09-2023,460,470,456.1,460,-0.67,"1,42,761.00","6,58,61,503.70",0.0752
26-09-2023,460,480.1,460,477.7,3.85,"1,51,068.00","7,13,48,296.50",0.0752
27-09-2023,475,486.5,471,479,0.27,"1,22,887.00","5,84,36,676.90",0.0752
1/10/2023,475,475,461,462.5,-3.44,"1,16,239.00","5,40,62,577.90",0.0752
2/10/2023,456,466.6,456,466,0.76,"1,02,400.00","4,72,53,637.00",0.0752
3/10/2023,460,467,460,460.3,-1.22,"80,679.00","3,72,62,140.20",0.0752
4/10/2023,457,469.9,455,463,0.59,"92,751.00","4,30,91,944.10",0.0752
5/10/2023,458.1,465,458.1,458.2,-1.04,"64,915.00","2,98,85,210.00",0.0752
8/10/2023,450,457,442.1,445,-2.88,"1,24,649.00","5,57,60,572.50",0.0752
9/10/2023,440,449,437.4,441.8,-0.72,"76,160.00","3,36,32,504.50",0.0752
10/10/2023,436,441.8,433.3,433.6,-1.86,"57,185.00","2,50,00,799.50",0.0752
11/10/2023,430,445,429.3,433.5,-0.02,"64,213.00","2,78,88,363.00",0.0752
12/10/2023,430.1,435,424,424.6,-2.05,"64,409.00","2,76,13,460.80",0.0752
16-10-2023,416.2,420.5,402,408.1,-3.89,"87,805.00","3,58,29,584.90",0.0752
17-10-2023,400,422.9,400,411.5,0.83,"52,689.00","2,16,88,520.00",0.0752
18-10-2023,411,421,404.2,417,1.34,"41,100.00","1,71,13,924.00",0.0752
19-10-2023,411,421,411,415.8,-0.29,"28,922.00","1,20,54,440.30",0.0752
29-10-2023,409,410,403.2,405.5,-2.48,"34,681.00","1,40,32,765.20",0.0752
30-10-2023,405,406,400,406,0.12,"28,848.00","1,16,15,704.60",0.0752
31-10-2023,406,406,400.2,402.4,-0.89,"25,757.00","1,03,73,242.00",0.0752
1/11/2023,400,407,398.2,400,-0.6,"32,091.00","1,28,84,200.00",0.0752
2/11/2023,395.1,408,395.1,400,0,"32,962.00","1,31,61,711.40",0.0752
5/11/2023,392,401,390,393,-1.75,"25,038.00","98,05,480.80",0.0752
6/11/2023,390,400,390,397.6,1.17,"23,181.00","91,81,625.00",0.0752
7/11/2023,397,418,396,414,4.12,"64,744.00","2,65,13,995.70",0.0752
8/11/2023,420,426,407,417,0.72,"56,829.00","2,38,40,277.50",0.0752
9/11/2023,409,425.3,409,415,-0.48,"37,056.00","1,54,81,664.30",0.0752
20-11-2023,410,428,410,420,1.2,"54,125.00","2,28,47,977.10",0.0752
21-11-2023,415,420,411,411.9,-1.93,"43,777.00","1,81,97,144.30",0.0752
22-11-2023,405.1,426.3,405.1,420,1.97,"55,426.00","2,31,57,685.60",0.0752
23-11-2023,412.1,453.9,412.1,440,4.76,"1,19,970.00","5,21,27,714.30",0.0752
26-11-2023,436,470.1,436,470,6.82,"1,65,042.00","7,56,94,512.30",0.0752
27-11-2023,465,479,455.1,466.1,-0.83,"1,62,875.00","7,60,65,789.00",0.0752
28-11-2023,465,475.3,461.1,469.9,0.82,"96,760.00","4,54,40,819.00",0.0752
29-11-2023,466,476,456,457,-2.75,"68,544.00","3,19,95,488.30",0.0752
30-11-2023,447.9,473,447.9,460,0.66,"71,157.00","3,26,39,394.90",0.0752
3/12/2023,452.2,462,452.2,457,-0.65,"58,396.00","2,66,29,402.70",0.0752
4/12/2023,452.1,472,452.1,467,2.19,"92,194.00","4,29,79,916.50",0.0752
5/12/2023,475,482,470,474.5,1.61,"1,08,588.00","5,16,35,317.70",0.0752
6/12/2023,474.5,491,472,488.1,2.87,"1,51,676.00","7,34,49,017.50",0.0752
7/12/2023,480.1,491,475.2,486.3,-0.37,"1,63,473.00","7,91,21,523.90",0.0752
10/12/2023,490,515,490,514,5.7,"39,065.00","1,98,42,653.60",0.0752
11/12/2023,520,520,494,519.6,1.09,"3,25,267.00","16,57,66,860.70",0.0752
12/12/2023,519.5,547,517,542,4.31,"2,67,573.00","14,35,78,143.70",0.0752
13-12-2023,550,553,536,543,0.18,"2,02,768.00","11,05,03,832.10",0.0752
14-12-2023,553.8,553.8,530,547,0.74,"2,13,185.00","11,49,88,791.70",0.0752
17-12-2023,536.1,557.9,527.1,552,0.91,"2,97,715.00","16,15,39,726.30",0.0752
18-12-2023,545,566.9,545,555,0.54,"2,22,876.00","12,48,01,851.10",0.0752
19-12-2023,545,600,545,590,6.31,"2,14,105.00","12,21,88,899.80",0.0752
20-12-2023,580,605,580,592,0.34,"2,82,935.00","16,73,67,961.80",0.0752
